5_198205	maio 1982
5_198206	junho 1982
5_198207	julho 1982
5_198208	agosto 1982
5_198209	setembro 1982
5_198210	outubro 1982
5_198211	novembro 1982
5_198212	dezembro 1982
5_198301	janeiro 1983
5_198302	fevereiro 1983
5_198303	março 1983
5_198304	abril 1983
5_198305	maio 1983
5_198306	junho 1983
5_198307	julho 1983
5_198308	agosto 1983
5_198309	setembro 1983
5_198310	outubro 1983
5_198311	novembro 1983
5_198312	dezembro 1983
5_198401	janeiro 1984
5_198402	fevereiro 1984
5_198403	março 1984
5_198404	abril 1984
5_198405	maio 1984
5_198406	junho 1984
5_198407	julho 1984
5_198408	agosto 1984
5_198409	setembro 1984
5_198410	outubro 1984
5_198411	novembro 1984
5_198412	dezembro 1984
5_198501	janeiro 1985
5_198502	fevereiro 1985
5_198503	março 1985
5_198504	abril 1985
5_198505	maio 1985
5_198506	junho 1985
5_198507	julho 1985
5_198508	agosto 1985
5_198509	setembro 1985
5_198510	outubro 1985
5_198511	novembro 1985
5_198512	dezembro 1985
5_198601	janeiro 1986
5_198602	fevereiro 1986
5_198603	março 1986
5_198604	abril 1986
5_198605	maio 1986
5_198606	junho 1986
5_198607	julho 1986
5_198608	agosto 1986
5_198609	setembro 1986
5_198610	outubro 1986
5_198611	novembro 1986
5_198612	dezembro 1986
5_198701	janeiro 1987
5_198702	fevereiro 1987
5_198703	março 1987
5_198704	abril 1987
5_198705	maio 1987
5_198706	junho 1987
5_198707	julho 1987
5_198708	agosto 1987
5_198709	setembro 1987
5_198710	outubro 1987
5_198711	novembro 1987
5_198712	dezembro 1987
5_198801	janeiro 1988
5_198802	fevereiro 1988
5_198803	março 1988
5_198804	abril 1988
5_198805	maio 1988
5_198806	junho 1988
5_198807	julho 1988
5_198808	agosto 1988
5_198809	setembro 1988
5_198810	outubro 1988
5_198811	novembro 1988
5_198812	dezembro 1988
5_198901	janeiro 1989
5_198902	fevereiro 1989
5_198903	março 1989
5_198904	abril 1989
5_198905	maio 1989
5_198906	junho 1989
5_198907	julho 1989
5_198908	agosto 1989
5_198909	setembro 1989
5_198910	outubro 1989
5_198911	novembro 1989
5_198912	dezembro 1989
5_199001	janeiro 1990
5_199002	fevereiro 1990
5_199003	março 1990
5_199004	abril 1990
5_199005	maio 1990
5_199006	junho 1990
5_199007	julho 1990
5_199008	agosto 1990
5_199009	setembro 1990
5_199010	outubro 1990
5_199011	novembro 1990
5_199012	dezembro 1990
5_199101	janeiro 1991
5_199102	fevereiro 1991
5_199103	março 1991
5_199104	abril 1991
5_199105	maio 1991
5_199106	junho 1991
5_199107	julho 1991
5_199108	agosto 1991
5_199109	setembro 1991
5_199110	outubro 1991
5_199111	novembro 1991
5_199112	dezembro 1991
5_199201	janeiro 1992
5_199202	fevereiro 1992
5_199203	março 1992
5_199204	abril 1992
5_199205	maio 1992
5_199206	junho 1992
5_199207	julho 1992
5_199208	agosto 1992
5_199209	setembro 1992
5_199210	outubro 1992
5_199211	novembro 1992
5_199212	dezembro 1992
5_199301	janeiro 1993
5_199302	fevereiro 1993
5_199303	março 1993
5_199304	abril 1993
5_199305	maio 1993
5_199306	junho 1993
5_199307	julho 1993
5_199308	agosto 1993
5_199309	setembro 1993
5_199310	outubro 1993
5_199311	novembro 1993
5_199312	dezembro 1993
5_199401	janeiro 1994
5_199402	fevereiro 1994
5_199403	março 1994
5_199404	abril 1994
5_199405	maio 1994
5_199406	junho 1994
5_199407	julho 1994
5_199408	agosto 1994
5_199409	setembro 1994
5_199410	outubro 1994
5_199411	novembro 1994
5_199412	dezembro 1994
5_199501	janeiro 1995
5_199502	fevereiro 1995
5_199503	março 1995
5_199504	abril 1995
5_199505	maio 1995
5_199506	junho 1995
5_199507	julho 1995
5_199508	agosto 1995
5_199509	setembro 1995
5_199510	outubro 1995
5_199511	novembro 1995
5_199512	dezembro 1995
5_199601	janeiro 1996
5_199602	fevereiro 1996
5_199603	março 1996
5_199604	abril 1996
5_199605	maio 1996
5_199606	junho 1996
5_199607	julho 1996
5_199608	agosto 1996
5_199609	setembro 1996
5_199610	outubro 1996
5_199611	novembro 1996
5_199612	dezembro 1996
5_199701	janeiro 1997
5_199702	fevereiro 1997
5_199703	março 1997
5_199704	abril 1997
5_199705	maio 1997
5_199706	junho 1997
5_199707	julho 1997
5_199708	agosto 1997
5_199709	setembro 1997
5_199710	outubro 1997
5_199711	novembro 1997
5_199712	dezembro 1997
5_199801	janeiro 1998
5_199802	fevereiro 1998
5_199803	março 1998
5_199804	abril 1998
5_199805	maio 1998
5_199806	junho 1998
5_199807	julho 1998
5_199808	agosto 1998
5_199809	setembro 1998
5_199810	outubro 1998
5_199811	novembro 1998
5_199812	dezembro 1998
5_199901	janeiro 1999
5_199902	fevereiro 1999
5_199903	março 1999
5_199904	abril 1999
5_199905	maio 1999
5_199906	junho 1999
5_199907	julho 1999
5_199908	agosto 1999
5_199909	setembro 1999
5_199910	outubro 1999
5_199911	novembro 1999
5_199912	dezembro 1999
5_200001	janeiro 2000
5_200002	fevereiro 2000
5_200003	março 2000
5_200004	abril 2000
5_200005	maio 2000
5_200006	junho 2000
5_200007	julho 2000
5_200008	agosto 2000
5_200009	setembro 2000
5_200010	outubro 2000
5_200011	novembro 2000
5_200012	dezembro 2000
5_200101	janeiro 2001
5_200102	fevereiro 2001
5_200103	março 2001
5_200104	abril 2001
5_200105	maio 2001
5_200106	junho 2001
5_200107	julho 2001
5_200108	agosto 2001
5_200109	setembro 2001
5_200110	outubro 2001
5_200111	novembro 2001
5_200112	dezembro 2001
5_200201	janeiro 2002
5_200202	fevereiro 2002
5_200203	março 2002
5_200204	abril 2002
5_200205	maio 2002
5_200206	junho 2002
5_200207	julho 2002
5_200208	agosto 2002
5_200209	setembro 2002
5_200210	outubro 2002
5_200211	novembro 2002
5_200212	dezembro 2002
5_200301	janeiro 2003
5_200302	fevereiro 2003
5_200303	março 2003
5_200304	abril 2003
5_200305	maio 2003
5_200306	junho 2003
5_200307	julho 2003
5_200308	agosto 2003
5_200309	setembro 2003
5_200310	outubro 2003
5_200311	novembro 2003
5_200312	dezembro 2003
5_200401	janeiro 2004
5_200402	fevereiro 2004
5_200403	março 2004
5_200404	abril 2004
5_200405	maio 2004
5_200406	junho 2004
5_200407	julho 2004
5_200408	agosto 2004
5_200409	setembro 2004
5_200410	outubro 2004
5_200411	novembro 2004
5_200412	dezembro 2004
5_200501	janeiro 2005
5_200502	fevereiro 2005
5_200503	março 2005
5_200504	abril 2005
5_200505	maio 2005
5_200506	junho 2005
5_200507	julho 2005
5_200508	agosto 2005
5_200509	setembro 2005
5_200510	outubro 2005
5_200511	novembro 2005
5_200512	dezembro 2005
5_200601	janeiro 2006
5_200602	fevereiro 2006
5_200603	março 2006
5_200604	abril 2006
5_200605	maio 2006
5_200606	junho 2006
5_200607	julho 2006
5_200608	agosto 2006
5_200609	setembro 2006
5_200610	outubro 2006
5_200611	novembro 2006
5_200612	dezembro 2006
5_200701	janeiro 2007
5_200702	fevereiro 2007
5_200703	março 2007
5_200704	abril 2007
5_200705	maio 2007
5_200706	junho 2007
5_200707	julho 2007
5_200708	agosto 2007
5_200709	setembro 2007
5_200710	outubro 2007
5_200711	novembro 2007
5_200712	dezembro 2007
5_200801	janeiro 2008
5_200802	fevereiro 2008
5_200803	março 2008
5_200804	abril 2008
5_200805	maio 2008
5_200806	junho 2008
5_200807	julho 2008
5_200808	agosto 2008
5_200809	setembro 2008
5_200810	outubro 2008
5_200811	novembro 2008
5_200812	dezembro 2008
5_200901	janeiro 2009
5_200902	fevereiro 2009
5_200903	março 2009
5_200904	abril 2009
5_200905	maio 2009
5_200906	junho 2009
5_200907	julho 2009
5_200908	agosto 2009
5_200909	setembro 2009
5_200910	outubro 2009
5_200911	novembro 2009
5_200912	dezembro 2009
5_201001	janeiro 2010
5_201002	fevereiro 2010
5_201003	março 2010
5_201004	abril 2010
5_201005	maio 2010
5_201006	junho 2010
5_201007	julho 2010
5_201008	agosto 2010
5_201009	setembro 2010
5_201010	outubro 2010
5_201011	novembro 2010
5_201012	dezembro 2010
5_201101	janeiro 2011
5_201102	fevereiro 2011
5_201103	março 2011
5_201104	abril 2011
5_201105	maio 2011
5_201106	junho 2011
5_201107	julho 2011
5_201108	agosto 2011
5_201109	setembro 2011
5_201110	outubro 2011
5_201111	novembro 2011
5_201112	dezembro 2011
5_201201	janeiro 2012
5_201202	fevereiro 2012
5_201203	março 2012
5_201204	abril 2012
5_201205	maio 2012
5_201206	junho 2012
5_201207	julho 2012
5_201208	agosto 2012
5_201209	setembro 2012
5_201210	outubro 2012
5_201211	novembro 2012
5_201212	dezembro 2012
5_201301	janeiro 2013
5_201302	fevereiro 2013
5_201303	março 2013
5_201304	abril 2013
5_201305	maio 2013
5_201306	junho 2013
5_201307	julho 2013
5_201308	agosto 2013
5_201309	setembro 2013
5_201310	outubro 2013
5_201311	novembro 2013
5_201312	dezembro 2013
5_201401	janeiro 2014
5_201402	fevereiro 2014
5_201403	março 2014
5_201404	abril 2014
5_201405	maio 2014
5_201406	junho 2014
5_201407	julho 2014
5_201408	agosto 2014
5_201409	setembro 2014
5_201410	outubro 2014
5_201411	novembro 2014
5_201412	dezembro 2014
5_201501	janeiro 2015
5_201502	fevereiro 2015
5_201503	março 2015
5_201504	abril 2015
5_201505	maio 2015
5_201506	junho 2015
5_201507	julho 2015
5_201508	agosto 2015
5_201509	setembro 2015
5_201510	outubro 2015
5_201511	novembro 2015
5_201512	dezembro 2015
5_201601	janeiro 2016
5_201602	fevereiro 2016
5_201603	março 2016
5_201604	abril 2016
5_201605	maio 2016
5_201606	junho 2016
5_201607	julho 2016
5_201608	agosto 2016
5_201609	setembro 2016
5_201610	outubro 2016
5_201611	novembro 2016
5_201612	dezembro 2016
5_201701	janeiro 2017
5_201702	fevereiro 2017
5_201703	março 2017
5_201704	abril 2017
5_201705	maio 2017
5_201706	junho 2017
5_201707	julho 2017
5_201708	agosto 2017
5_201709	setembro 2017
5_201710	outubro 2017
5_201711	novembro 2017
5_201712	dezembro 2017
5_201801	janeiro 2018
5_201802	fevereiro 2018
5_201803	março 2018
5_201804	abril 2018
5_201805	maio 2018
5_201806	junho 2018
5_201807	julho 2018
5_201808	agosto 2018
5_201809	setembro 2018
5_201810	outubro 2018
5_201811	novembro 2018
5_201812	dezembro 2018
5_201901	janeiro 2019
5_201902	fevereiro 2019
5_201903	março 2019
5_201904	abril 2019
5_201905	maio 2019
5_201906	junho 2019
5_201907	julho 2019
5_201908	agosto 2019
5_201909	setembro 2019
5_201910	outubro 2019
5_201911	novembro 2019
5_201912	dezembro 2019
5_202001	janeiro 2020
5_202002	fevereiro 2020
5_202003	março 2020
5_202004	abril 2020
5_202005	maio 2020
5_202006	junho 2020
5_202007	julho 2020
5_202008	agosto 2020
5_202009	setembro 2020
5_202010	outubro 2020
5_202011	novembro 2020
5_202012	dezembro 2020
5_202101	janeiro 2021
5_202102	fevereiro 2021
5_202103	março 2021
5_202104	abril 2021
5_202105	maio 2021
5_202106	junho 2021
5_202107	julho 2021
5_202108	agosto 2021
5_202109	setembro 2021
5_202110	outubro 2021
5_202111	novembro 2021
5_202112	dezembro 2021
5_202201	janeiro 2022
5_202202	fevereiro 2022
5_202203	março 2022
5_202204	abril 2022
5_202205	maio 2022
5_202206	junho 2022
5_202207	julho 2022
5_202208	agosto 2022
5_202209	setembro 2022
5_202210	outubro 2022
5_202211	novembro 2022
5_202212	dezembro 2022
5_202301	janeiro 2023
5_202302	fevereiro 2023
5_202303	março 2023
5_202304	abril 2023
5_202305	maio 2023
5_202306	junho 2023
5_202307	julho 2023
7_2017	2015/2017
8_200702	2º semestre 2007
8_200801	1º semestre 2008
8_200802	2º semestre 2008
8_200901	1º semestre 2009
8_200902	2º semestre 2009
8_201001	1º semestre 2010
8_201002	2º semestre 2010
8_201101	1º semestre 2011
8_201102	2º semestre 2011
8_201201	1º semestre 2012
8_201202	2º semestre 2012
8_201301	1º semestre 2013
8_201302	2º semestre 2013
8_201401	1º semestre 2014
8_201402	2º semestre 2014
8_201501	1º semestre 2015
8_201502	2º semestre 2015
8_201601	1º semestre 2016
8_201602	2º semestre 2016
8_201701	1º semestre 2017
8_201702	2º semestre 2017
8_201801	1º semestre 2018
8_201802	2º semestre 2018
8_201901	1º semestre 2019
8_201902	2º semestre 2019
8_202001	1º semestre 2020
8_202002	2º semestre 2020
8_202101	1º semestre 2021
8_202102	2º semestre 2021
8_202201	1º semestre 2022
8_202202	2º semestre 2022
9_198701	1º trimestre 1987
9_198702	2º trimestre 1987
9_198703	3º trimestre 1987
9_198704	4º trimestre 1987
9_198801	1º trimestre 1988
9_198802	2º trimestre 1988
9_198803	3º trimestre 1988
9_198804	4º trimestre 1988
9_198901	1º trimestre 1989
9_198902	2º trimestre 1989
9_198903	3º trimestre 1989
9_198904	4º trimestre 1989
9_199001	1º trimestre 1990
9_199002	2º trimestre 1990
9_199003	3º trimestre 1990
9_199004	4º trimestre 1990
9_199101	1º trimestre 1991
9_199102	2º trimestre 1991
9_199103	3º trimestre 1991
9_199104	4º trimestre 1991
9_199201	1º trimestre 1992
9_199202	2º trimestre 1992
9_199203	3º trimestre 1992
9_199204	4º trimestre 1992
9_199301	1º trimestre 1993
9_199302	2º trimestre 1993
9_199303	3º trimestre 1993
9_199304	4º trimestre 1993
9_199401	1º trimestre 1994
9_199402	2º trimestre 1994
9_199403	3º trimestre 1994
9_199404	4º trimestre 1994
9_199501	1º trimestre 1995
9_199502	2º trimestre 1995
9_199503	3º trimestre 1995
9_199504	4º trimestre 1995
9_199601	1º trimestre 1996
9_199602	2º trimestre 1996
9_199603	3º trimestre 1996
9_199604	4º trimestre 1996
9_199701	1º trimestre 1997
9_199702	2º trimestre 1997
9_199703	3º trimestre 1997
9_199704	4º trimestre 1997
9_199801	1º trimestre 1998
9_199802	2º trimestre 1998
9_199803	3º trimestre 1998
9_199804	4º trimestre 1998
9_199901	1º trimestre 1999
9_199902	2º trimestre 1999
9_199903	3º trimestre 1999
9_199904	4º trimestre 1999
9_200001	1º trimestre 2000
9_200002	2º trimestre 2000
9_200003	3º trimestre 2000
9_200004	4º trimestre 2000
9_200101	1º trimestre 2001
9_200102	2º trimestre 2001
9_200103	3º trimestre 2001
9_200104	4º trimestre 2001
9_200201	1º trimestre 2002
9_200202	2º trimestre 2002
9_200203	3º trimestre 2002
9_200204	4º trimestre 2002
9_200301	1º trimestre 2003
9_200302	2º trimestre 2003
9_200303	3º trimestre 2003
9_200304	4º trimestre 2003
9_200401	1º trimestre 2004
9_200402	2º trimestre 2004
9_200403	3º trimestre 2004
9_200404	4º trimestre 2004
9_200501	1º trimestre 2005
9_200502	2º trimestre 2005
9_200503	3º trimestre 2005
9_200504	4º trimestre 2005
9_200601	1º trimestre 2006
9_200602	2º trimestre 2006
9_200603	3º trimestre 2006
9_200604	4º trimestre 2006
9_200701	1º trimestre 2007
9_200702	2º trimestre 2007
9_200703	3º trimestre 2007
9_200704	4º trimestre 2007
9_200801	1º trimestre 2008
9_200802	2º trimestre 2008
9_200803	3º trimestre 2008
9_200804	4º trimestre 2008
9_200901	1º trimestre 2009
9_200902	2º trimestre 2009
9_200903	3º trimestre 2009
9_200904	4º trimestre 2009
9_201001	1º trimestre 2010
9_201002	2º trimestre 2010
9_201003	3º trimestre 2010
9_201004	4º trimestre 2010
9_201101	1º trimestre 2011
9_201102	2º trimestre 2011
9_201103	3º trimestre 2011
9_201104	4º trimestre 2011
9_201201	1º trimestre 2012
9_201202	2º trimestre 2012
9_201203	3º trimestre 2012
9_201204	4º trimestre 2012
9_201301	1º trimestre 2013
9_201302	2º trimestre 2013
9_201303	3º trimestre 2013
9_201304	4º trimestre 2013
9_201401	1º trimestre 2014
9_201402	2º trimestre 2014
9_201403	3º trimestre 2014
9_201404	4º trimestre 2014
9_201501	1º trimestre 2015
9_201502	2º trimestre 2015
9_201503	3º trimestre 2015
9_201504	4º trimestre 2015
9_201601	1º trimestre 2016
9_201602	2º trimestre 2016
9_201603	3º trimestre 2016
9_201604	4º trimestre 2016
9_201701	1º trimestre 2017
9_201702	2º trimestre 2017
9_201703	3º trimestre 2017
9_201704	4º trimestre 2017
9_201801	1º trimestre 2018
9_201802	2º trimestre 2018
9_201803	3º trimestre 2018
9_201804	4º trimestre 2018
9_201901	1º trimestre 2019
9_201902	2º trimestre 2019
9_201903	3º trimestre 2019
9_201904	4º trimestre 2019
9_202001	1º trimestre 2020
9_202002	2º trimestre 2020
9_202003	3º trimestre 2020
9_202004	4º trimestre 2020
9_202101	1º trimestre 2021
9_202102	2º trimestre 2021
9_202103	3º trimestre 2021
9_202104	4º trimestre 2021
9_202201	1º trimestre 2022
9_202202	2º trimestre 2022
9_202203	3º trimestre 2022
9_202204	4º trimestre 2022
9_202301	1º trimestre 2023
